CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,CPC,CPL,Conversion_Rate
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,1.12,6,0.04509920719948576,0.09038821609550804,23.094064709663595
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,1.96,9,0.250293542074364,0.6006514164520528,15.7692064894893
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,0.9,8,0.060710644495691225,0.12438020639065026,20.615365942468745
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,0.76,13,0.4687986526946108,1.2353353057199212,12.79940119760479
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,1.86,9,1.1878411552346568,3.2448915187376723,13.598074608904934
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,0.1,13,0.44370723148264196,1.0957412565769111,18.12257175084597
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,0.65,15,0.9257083333333334,5.275804749340369,4.953703703703704
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,0.89,13,0.17699603452297644,0.41912395050817497,10.706787963610918
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,0.17,6,0.9643168957154405,1.976570008285004,28.172999191592563
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,1.03,13,0.46162894098625706,1.3404577464788732,10.145513338722715
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,0.75,7,1.854854802680566,17.793357142857143,4.095309009679822
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,0.87,8,0.5447418630751965,4.229760348583878,6.495510662177328
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,1.37,5,0.08515652325988107,0.43926477221470456,8.184679958027283
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,0.14,5,0.17268807467261077,0.5826345475910694,13.450821955976593
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,1.92,5,0.029366073343341195,0.11060904684975767,7.042676388591036
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,1.04,13,0.5189765615412935,1.0557014478282576,17.597251196465823
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,1.68,15,24.477083333333333,51.401875,22.61904761904762
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,0.64,12,0.15333649032607224,0.596478947368421,7.297163216524602
CAMP00019,2025-09-15,2025-09-24,Search,260948,21678,9055,3562,4608.11,7497.56,0.63,9,0.21257080911523202,0.5089022639425731,16.431405111172616
CAMP00020,2025-12-10,2025-12-19,Search,151528,2195,778,338,2059.75,5783.01,1.81,9,0.9383826879271071,2.6474935732647813,15.398633257403189
CAMP00021,2025-10-21,2025-11-03,Display,285372,9090,1793,924,746.69,922.13,0.23,13,0.08214411441144115,0.4164472950362521,10.165016501650165
CAMP00022,2025-07-11,2025-07-18,Influencer,267190,21202,10017,2870,4880.6,5893.6,0.21,7,0.23019526459767947,0.4872317060996307,13.536458824639187
CAMP00023,2025-10-04,2025-10-11,Influencer,221014,9692,1975,1167,2614.07,6258.53,1.39,7,0.269714197276104,1.323579746835443,12.040858439950474
CAMP00024,2025-06-10,2025-06-21,Search,120965,6355,2847,1671,2430.02,4694.93,0.93,11,0.38237922895357984,0.8535370565507552,26.294256490952005
CAMP00025,2025-11-10,2025-11-23,Influencer,20930,1759,624,127,412.25,1003.68,1.43,13,0.23436611711199545,0.6606570512820513,7.220011370096646
CAMP00026,2025-01-22,2025-02-01,Social,85823,1589,553,191,2894.85,5401.22,0.87,10,1.821806167400881,5.234810126582278,12.020138451856512
CAMP00027,2025-09-10,2025-09-16,Influencer,256025,18166,7908,1796,3259.23,4639.47,0.42,6,0.17941373995375978,0.41214339908952957,9.886601343168557
CAMP00028,2025-08-24,2025-08-29,Social,204494,6001,1786,583,2418.62,5878.43,1.43,5,0.40303616063989334,1.3542105263157893,9.715047492084652
CAMP00029,2025-12-11,2025-12-17,Search,83880,1311,578,255,4561.0,4917.26,0.08,6,3.479023646071701,7.891003460207613,19.450800915331808
CAMP00030,2025-02-18,2025-02-23,Search,223626,15569,4983,2209,3737.65,7086.3,0.9,5,0.24007001091913419,0.7500802729279551,14.188451409852911
CAMP00031,2025-02-28,2025-03-14,Search,177827,3721,1837,438,289.24,554.56,0.92,14,0.07773179252889009,0.15745236799129014,11.771029293200751
CAMP00032,2025-06-19,2025-07-03,Display,188552,14561,5299,2495,2758.59,3188.53,0.16,14,0.1894505871849461,0.520586903189281,17.134812169493856
CAMP00033,2025-07-07,2025-07-20,Influencer,12293,347,86,46,4969.0,7370.33,0.48,13,14.319884726224783,57.77906976744186,13.256484149855908
CAMP00034,2025-09-28,2025-10-12,Email,73542,1056,428,193,1078.76,1639.65,0.52,14,1.0215530303030302,2.520467289719626,18.276515151515152
CAMP00035,2025-07-09,2025-07-21,Email,65528,1240,376,121,3124.16,8703.85,1.79,12,2.5194838709677416,8.308936170212766,9.758064516129032
CAMP00036,2025-06-24,2025-07-05,Search,113885,9761,4123,828,1440.13,2916.67,1.03,11,0.14753918655875423,0.349291777831676,8.482737424444217
CAMP00037,2025-02-20,2025-02-27,Influencer,150771,6541,2834,1301,1920.27,4496.36,1.34,7,0.2935743770065739,0.6775829216654905,19.88992508790705
CAMP00038,2025-12-30,2026-01-11,Social,164506,6120,2122,999,264.81,293.89,0.11,12,0.043269607843137256,0.12479264844486333,16.323529411764707
CAMP00039,2025-02-24,2025-03-02,Email,59669,3234,1451,701,3470.79,4189.11,0.21,6,1.0732189239332097,2.3919986216402482,21.675943104514534
CAMP00040,2025-09-01,2025-09-07,Search,284746,19067,4983,1074,3852.05,8192.31,1.13,6,0.20202706246394295,0.7730383303230985,5.632768657890597
CAMP00041,2025-11-16,2025-12-01,Email,176858,2359,290,117,3887.29,10379.97,1.67,15,1.647855023314964,13.40444827586207,4.959728698601102
CAMP00042,2025-05-11,2025-05-25,Email,277096,25170,9188,3357,4855.66,5370.17,0.11,14,0.1929145808502185,0.5284784501523726,13.337306317044101
CAMP00043,2025-11-03,2025-11-10,Email,121032,11650,4727,2396,4205.6,12477.79,1.97,7,0.3609957081545065,0.8896974825470702,20.566523605150213
CAMP00044,2025-05-15,2025-05-26,Search,37905,1802,232,113,1117.27,3095.83,1.77,11,0.6200166481687014,4.815818965517241,6.270810210876804
CAMP00045,2025-01-21,2025-01-26,Search,182996,8625,3522,2043,1229.73,3377.2,1.75,5,0.14257739130434782,0.34915672913117546,23.68695652173913
CAMP00046,2025-11-25,2025-12-07,Display,18381,1637,582,325,3863.15,3930.17,0.02,12,2.35989615149664,6.637714776632302,19.853390348197923
CAMP00047,2025-06-16,2025-06-27,Display,255666,12435,1822,771,3906.84,7082.26,0.81,11,0.31418094089264176,2.144259055982437,6.200241254523522
CAMP00048,2025-10-01,2025-10-09,Display,295274,25705,8122,4809,702.91,1821.61,1.59,8,0.027345263567399337,0.08654395469096281,18.708422485897685
CAMP00049,2025-03-30,2025-04-08,Email,35415,444,63,16,132.5,333.53,1.52,9,0.29842342342342343,2.1031746031746033,3.6036036036036037
CAMP00050,2025-11-12,2025-11-26,Influencer,185200,10013,2289,464,2066.76,3495.47,0.69,14,0.20640767002896238,0.9029095674967236,4.633975831419155
CAMP00051,2025-01-14,2025-01-19,Search,89679,8583,3618,879,3503.9,9654.22,1.76,5,0.4082372130956542,0.9684632393587618,10.241174414540371
CAMP00052,2025-08-30,2025-09-07,Display,120458,3945,553,189,4346.66,9876.13,1.27,8,1.1018149556400507,7.860144665461121,4.790874524714829
CAMP00053,2025-09-22,2025-09-27,Influencer,136460,4633,1314,659,910.12,2719.35,1.99,5,0.196442909561839,0.6926331811263318,14.22404489531621
CAMP00054,2025-12-12,2025-12-17,Display,82652,5513,1887,666,4094.93,6836.28,0.67,5,0.7427770723743877,2.1700741918388977,12.080536912751679
CAMP00055,2025-02-22,2025-03-08,Display,155878,14552,6929,3549,3453.83,7899.24,1.29,14,0.23734400769653655,0.4984600952518401,24.388400219901044
CAMP00056,2025-12-06,2025-12-11,Influencer,69333,1933,763,379,913.18,1688.45,0.85,5,0.47241593378168645,1.1968283093053735,19.606828763579927
CAMP00057,2025-04-02,2025-04-13,Display,241388,22436,3493,1808,4379.09,10050.49,1.3,11,0.19518140488500624,1.2536759232751218,8.058477446960243
CAMP00058,2025-09-21,2025-10-02,Email,115930,8076,3937,1082,4671.64,7098.74,0.52,11,0.5784596334819218,1.1865989331978666,13.397721644378406
CAMP00059,2025-02-04,2025-02-12,Email,271996,27029,7870,3198,1402.45,2475.26,0.76,8,0.05188686225905509,0.1782020330368488,11.831736283251322
CAMP00060,2025-07-25,2025-07-31,Email,251355,19173,4752,2305,828.59,2373.46,1.86,6,0.04321650237312888,0.1743665824915825,12.022114431752987
CAMP00061,2025-03-22,2025-03-29,Social,194889,13662,2069,648,4841.37,7640.26,0.58,7,0.35436758893280634,2.339956500724988,4.743083003952568
CAMP00062,2025-02-19,2025-03-03,Display,165120,13761,6514,3486,212.13,475.47,1.24,12,0.015415304120340092,0.032565244089653056,25.332461303684322
CAMP00063,2025-12-26,2026-01-07,Social,228622,5889,1969,1007,4747.16,13468.54,1.84,12,0.8061062998811342,2.410949720670391,17.099677364578028
CAMP00064,2025-01-02,2025-01-17,Search,118120,11237,5564,1379,1159.5,2274.99,0.96,15,0.10318590371095489,0.20839324227174694,12.27195870784017
CAMP00065,2025-02-23,2025-03-10,Influencer,81596,2032,344,98,2246.84,5370.37,1.39,15,1.105728346456693,6.531511627906977,4.822834645669291
CAMP00066,2025-04-16,2025-04-26,Search,246777,3037,966,284,1610.92,4021.01,1.5,10,0.5304313467237406,1.6676190476190478,9.351333552848205
CAMP00067,2025-09-17,2025-10-01,Social,260878,18993,2734,1507,853.17,1781.61,1.09,14,0.04492023377033644,0.3120592538405267,7.934502185015532
CAMP00068,2025-11-06,2025-11-19,Email,275353,7328,2269,623,1827.14,3211.78,0.76,13,0.24933679039301312,0.805262230057294,8.501637554585152
CAMP00069,2025-07-10,2025-07-25,Display,58482,4578,2087,936,2742.31,7176.22,1.62,15,0.5990192223678462,1.313996166746526,20.445609436435124
CAMP00070,2025-08-06,2025-08-19,Display,154148,12571,1806,408,559.75,1180.08,1.11,13,0.044527086150664225,0.30993909191583613,3.245565189722377
CAMP00071,2025-02-13,2025-02-21,Email,122458,3833,796,335,4064.97,5009.16,0.23,8,1.0605191755804853,5.106746231155778,8.73989042525437
CAMP00072,2025-06-11,2025-06-16,Display,124614,2218,827,212,4021.87,11056.48,1.75,5,1.8132867448151488,4.863204353083434,9.558160504959423
CAMP00073,2025-07-21,2025-07-26,Influencer,94484,5203,679,292,4007.66,6391.78,0.59,5,0.7702594656928695,5.9022974963181145,5.6121468383624835
CAMP00074,2025-09-27,2025-10-11,Influencer,154151,13892,3911,1357,3463.6,6881.77,0.99,14,0.24932335156924848,0.8856047046791102,9.7682119205298
CAMP00075,2025-12-17,2025-12-26,Influencer,186810,16113,3757,1661,2330.79,3327.47,0.43,9,0.14465276484825917,0.6203859462336971,10.30844659591634
CAMP00076,2025-10-31,2025-11-06,Search,279849,5747,2501,894,4185.25,8309.05,0.99,6,0.7282495214894728,1.6734306277489004,15.555942230729075
CAMP00077,2025-09-28,2025-10-08,Email,114165,11054,1322,716,4274.06,5378.93,0.26,10,0.3866527953681925,3.23302571860817,6.477293287497739
CAMP00078,2025-08-03,2025-08-14,Influencer,15248,514,228,114,1498.74,3196.1,1.13,11,2.9158365758754865,6.573421052631579,22.17898832684825
CAMP00079,2025-09-09,2025-09-14,Social,94169,3902,1488,800,2456.66,5025.25,1.05,5,0.6295899538698103,1.6509811827956988,20.502306509482317
